Sample_ID,AE Fraction,SE Fraction,Fe 56,P 31,Co 59,Zn 66,Ni 60,Cu 63,Al 27,Ti 48,V 51,Cr 52,Mn 55,Fe 57,As 75,Mo 95
190125_3_7,100,7,1.017,2.291,0.042,4.563,4.443,-0.254,1.319,0.412,0.755,1.191,0.37,0.892,0.027,0.297
190125_3_8,100,8,0.768,1.921,0.044,-0.673,3.989,-0.001,0.988,0.357,0.666,1.033,0.312,0.705,0.011,0.264
190125_3_9,100,9,0.588,2.089,0.036,2.705,3.911,-0.292,0.519,0.35,0.618,0.975,0.304,0.533,0.027,0.21
190125_3_10,100,10,0.743,2.134,0.036,7.312,3.821,1.497,0.623,0.368,0.556,0.936,0.307,0.658,0.003,0.2
190125_3_11,100,11,0.734,2.078,0.035,-0.095,3.945,-0.288,0.554,0.355,0.595,0.91,0.312,0.705,0.035,0.19
190125_3_12,100,12,1.657,2.919,0.035,-0.158,4.033,-0.28,0.571,0.397,0.584,1.127,0.391,1.516,0.023,0.203
190125_3_13,100,13,1.097,1.921,0.036,-1.034,3.879,-0.292,0.658,0.388,0.588,1.007,0.336,1.048,0.019,0.175
190125_3_14,100,14,0.678,1.842,0.035,3.475,3.722,-0.263,0.554,0.399,0.587,0.92,0.319,0.595,0.023,0.171
190125_3_15,100,15,0.609,1.484,0.034,-0.659,3.699,-0.276,0.449,0.365,0.573,0.82,0.33,0.517,0.003,0.155
190125_3_16,100,16,0.526,1.237,0.033,3.988,3.556,-0.301,0.397,0.436,0.538,0.791,0.334,0.471,0.007,0.163
190125_3_17,100,17,0.445,1.91,0.03,0.57,3.531,-0.306,0.345,0.392,0.53,0.848,0.312,0.393,0.023,0.157
190125_3_18,100,18,0.436,1.293,0.032,0.419,3.439,-0.287,0.484,0.335,0.478,0.769,0.308,0.408,0.007,0.138
190125_3_19,100,19,1.417,1.36,0.03,-0.167,3.375,-0.287,0.328,0.259,0.484,0.763,0.305,1.438,0.019,3.2
190125_3_20,100,20,0.927,1.237,0.029,-0.65,3.254,0.701,0.362,0.273,0.471,0.722,0.313,0.907,0.011,0.167
190125_3_21,100,21,8.19,1.08,0.029,6.621,3.18,35.975,0.38,0.306,0.457,0.706,0.308,8.458,0.011,0.13
190125_3_22,100,22,21.109,3.49,0.045,12.849,3.102,38.28,0.328,0.29,0.474,0.678,0.306,21.141,0.003,0.21
190125_3_23,100,23,6.937,5.161,0.054,5.444,3.26,13.611,0.275,0.31,0.451,0.709,0.303,7.148,0.015,0.227
190125_3_24,100,24,2.83,5.329,0.053,2.251,4.297,5.912,0.293,0.313,0.419,0.735,0.309,2.92,0.031,0.232
190125_3_25,100,25,1.653,2.818,0.04,0.92,4.351,3.485,0.136,0.293,0.409,0.714,0.265,1.625,0.031,0.131
190125_3_26,100,26,1.267,1.641,0.037,-0.012,3.542,1.773,0.275,0.339,0.398,0.674,0.287,1.235,0.062,0.126
190125_3_27,100,27,0.898,1.248,0.031,-0.513,3.109,1.106,0.345,0.31,0.413,0.673,0.283,0.892,0.015,0.122
190125_3_28,100,28,0.629,0.822,0.029,-0.552,3.015,0.673,0.241,0.31,0.426,0.669,0.29,0.689,0.015,0.114
190125_3_29,100,29,0.537,0.833,0.031,0.646,2.967,0.452,0.275,0.346,0.42,0.667,0.285,0.627,0.019,0.107
190125_3_30,100,30,0.403,0.699,0.026,-0.761,2.919,0.281,0.258,0.279,0.419,0.649,0.294,0.517,0.027,0.171
