Sample_ID,AE Fraction,SE Fraction,75As,27Al,47Ti,48Ti,51V,52Cr,55Mn,56Fe,57Fe,59Co,60Ni,63Cu,66Zn,95Mo,111Cd,208Pb
210929_IC_SEC_0to0_1,0,1,0.0,2.4,0.3,4.2,0.2,0.4,0.4,1.7,1.5,0.0,0.7,0.4,2.9,0.1,0.0,0.0
210929_IC_SEC_0to0_2,0,2,0.0,2.9,0.5,4.5,0.2,0.5,0.6,2.3,2.1,0.0,1.7,0.8,3.2,0.2,0.0,0.0
210929_IC_SEC_0to0_3,0,3,0.0,3.0,0.4,4.3,0.2,0.4,0.7,2.2,2.0,0.0,2.2,0.8,2.7,0.2,0.0,0.0
210929_IC_SEC_0to0_4,0,4,0.0,3.3,0.5,4.2,0.2,0.4,0.9,2.2,2.0,0.0,2.0,0.6,2.7,0.2,0.0,0.0
210929_IC_SEC_0to0_5,0,5,0.0,7.5,0.3,4.7,0.2,0.4,0.8,2.2,2.0,0.1,2.0,0.6,2.9,0.2,0.0,0.0
210929_IC_SEC_0to0_6,0,6,0.0,3.2,0.5,4.2,0.2,0.3,0.8,2.0,1.9,0.1,1.9,0.6,2.7,0.2,0.0,0.0
210929_IC_SEC_0to0_7,0,7,0.0,3.1,0.3,4.1,0.1,0.3,0.9,2.0,1.8,0.1,2.0,0.5,2.6,0.2,0.0,0.0
210929_IC_SEC_0to0_8,0,8,0.0,3.3,0.3,4.2,0.1,0.3,1.2,2.6,2.4,0.2,2.1,0.5,6.7,0.2,0.0,0.1
210929_IC_SEC_0to0_9,0,9,0.0,4.7,0.4,4.8,0.1,0.3,1.3,2.6,2.4,0.1,2.1,0.5,3.0,0.2,0.0,0.0
210929_IC_SEC_0to0_10,0,10,0.0,3.5,0.4,4.9,0.1,0.3,1.3,2.7,2.6,0.1,2.1,0.5,34.8,0.2,0.0,0.0
210929_IC_SEC_0to0_11,0,11,0.0,3.6,0.3,4.9,0.1,0.3,1.4,2.7,2.4,0.1,2.1,0.5,3.0,0.3,0.0,0.0
210929_IC_SEC_0to0_12,0,12,0.0,4.2,0.8,5.8,0.1,0.3,1.7,27.4,27.2,0.1,2.0,0.5,4.0,0.2,0.0,0.0
210929_IC_SEC_0to0_13,0,13,0.0,3.5,0.3,3.7,0.1,0.3,1.4,3.4,3.2,0.1,2.1,0.4,2.4,0.3,0.0,0.0
