Annotation,Accession Number,Molecular Weight,100-1,100-2,100-3,100-4,100-5,100-6,100-7,100-8,100-9,100-10,100-11,100-12,100-13,100-14,100-15,100-16,100-17,100-18,100-19,100-20,100-21,100-22,100-23,100-24,100-25,100-26,100-27,100-28,100-29,100-30,100-31,100-32,150-1,150-2,150-3,150-4,150-5,150-6,150-7,150-8,150-9,150-10,150-11,150-12,150-13,150-14,150-15,150-16,150-17,150-18,150-19,150-20,150-21,150-22,150-23,150-24,150-25,150-26,150-27,150-28,150-29,150-30,150-31,150-32,200-1,200-2,200-3,200-4,200-5,200-6,200-7,200-8,200-9,200-10,200-11,200-12,200-13,200-14,200-15,200-16,200-17,200-18,200-19,200-20,200-21,200-22,200-23,200-24,200-25,200-26,200-27,200-28,200-29,200-30,200-31,200-32,300-1,300-2,300-3,300-4,300-5,300-6,300-7,300-8,300-9,300-10,300-11,300-12,300-13,300-14,300-15,300-16,300-17,300-18,300-19,300-20,300-21,300-22,300-23,300-24,300-25,300-26,300-27,300-28,300-29,300-30,300-31,300-32,350-1,350-2,350-3,350-4,350-5,350-6,350-7,350-8,350-9,350-10,350-11,350-12,350-13,350-14,350-15,350-16,350-17,350-18,350-19,350-20,350-21,350-22,350-23,350-24,350-25,350-26,350-27,350-28,350-29,350-30,350-31,350-32,400-1,400-2,400-3,400-4,400-5,400-6,400-7,400-8,400-9,400-10,400-11,400-12,400-13,400-14,400-15,400-16,400-17,400-18,400-19,400-20,400-21,400-22,400-23,400-24,400-25,400-26,400-27,400-28,400-29,400-30,400-31,400-32,500-1,500-2,500-3,500-4,500-5,500-6,500-7,500-8,500-9,500-10,500-11,500-12,500-13,500-14,500-15,500-16,500-17,500-18,500-19,500-20,500-21,500-22,500-23,500-24,500-25,500-26,500-27,500-28,500-29,500-30,500-31,500-32,550-1,550-2,550-3,550-4,550-5,550-6,550-7,550-8,550-9,550-10,550-11,550-12,550-13,550-14,550-15,550-16,550-17,550-18,550-19,550-20,550-21,550-22,550-23,550-24,550-25,550-26,550-27,550-28,550-29,550-30,550-31,550-32,600-1,600-2,600-3,600-4,600-5,600-6,600-7,600-8,600-9,600-10,600-11,600-12,600-13,600-14,600-15,600-16,600-17,600-18,600-19,600-20,600-21,600-22,600-23,600-24,600-25,600-26,600-27,600-28,600-29,600-30,600-31,600-32
[gene=groL] [locus_tag=SAR11_RS00815] [db_xref=GeneID:66294662] [protein=chaperonin GroEL] [protein_id=WP_011281510.1] [location=164576..166240] [gbkey=CDS],NC_007205.1_prot_WP_011281510.1_159,58 kDa,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,73,117,155,140,110,98,86,64,49,33,33,14,17,14,11,6,3,2,5,2,3,2,1,1,1,1,1,86,297,389,433,305,225,191,147,123,108,73,56,50,26,6,12,11,6,9,3,3,5,1,2,1,0,0,0,1,0,0,0,259,335,527,454,268,164,106,115,142,133,118,111,92,75,68,50,51,51,42,29,31,39,6,15,18,13,3,8,12,8,9,1,3,0,2,6,2,1,0,1,3,1,6,0,0,0,2,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,72,63,35,23,10,2,1,2,1,1,1,0,0,1,0,0,0,0
[locus_tag=SAR11_RS04760] [db_xref=GeneID:66295442] [protein=amino acid ABC transporter substrate-binding protein] [protein_id=WP_011282064.1] [location=936342..937382] [gbkey=CDS],NC_007205.1_prot_WP_011282064.1_932,38 kDa,,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,29,32,279,588,405,368,299,222,211,158,129,102,98,81,59,57,44,30,45,33,27,24,16,6,8,9,10,31,56,66,73,80,106,200,271,344,217,80,146,66,43,18,30,19,20,20,12,7,11,7,6,5,0,4,4,5,3,0,2,57,47,33,31,29,33,32,50,24,14,15,30,13,8,13,10,9,8,8,8,8,8,3,5,4,6,2,3,8,8,5,3,5,3,3,3,3,1,2,4,4,1,1,0,1,0,5,3,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,2,1,0,2,0,0,2,0,1,0,0,1,0,0,0
[gene=groES] [locus_tag=SAR11_RS00810] [db_xref=GeneID:66294661] [protein=co-chaperone GroES] [protein_id=WP_006997749.1] [location=164262..164552] [gbkey=CDS],NC_007205.1_prot_WP_006997749.1_158,10 kDa,,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,54,127,240,172,139,89,69,65,49,40,26,24,13,14,12,11,8,7,5,4,1,3,2,4,5,4,3,8,9,7,13,14,43,160,265,165,61,58,49,34,4,12,5,6,2,8,11,4,3,5,0,2,0,0,1,2,0,0,3,0,0,0,2,0,9,45,34,17,12,6,4,2,2,1,3,3,1,1,1,0,0,1,0,0,0,2,1,3,4,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,42,43,16,16,7,4,2,0,0,1,0,0,0,0,0,0,0,0
[gene=dnaK] [locus_tag=SAR11_RS01850] [db_xref=GeneID:66294866] [protein=molecular chaperone DnaK] [protein_id=WP_006997539.1] [location=complement(358894..360837)] [gbkey=CDS],NC_007205.1_prot_WP_006997539.1_363,70 kDa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,72,80,50,20,11,14,13,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,141,204,181,155,110,60,35,30,13,14,10,11,1,3,4,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,110,243,256,237,161,97,53,44,51,43,35,28,27,24,20,24,17,24,16,9,6,6,1,2,4,5,0,2,3,2,0,2,2,1,2,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,11,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
[locus_tag=SAR11_RS06690] [db_xref=GeneID:66295826] [protein=extracellular solute-binding protein] [protein_id=WP_011282318.1] [location=complement(1272839..1273960)] [gbkey=CDS],NC_007205.1_prot_WP_011282318.1_1306,41 kDa,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,6,3,34,25,13,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,19,24,29,100,689,593,345,116,87,63,49,42,34,26,26,28,15,15,10,13,5,7,14,2,1,9,8,7,7,2,1,2,1,2,1,1,3,0,3,0,2,2,1,0,1,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[locus_tag=SAR11_RS01325] [db_xref=GeneID:66294762] [protein=TRAP transporter substrate-binding protein] [protein_id=WP_011281581.1] [location=complement(267155..268312)] [gbkey=CDS],NC_007205.1_prot_WP_011281581.1_259,42 kDa,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,72,321,198,92,55,60,47,45,28,17,17,12,13,10,12,8,6,3,9,3,0,2,3,0,7,10,11,13,9,6,6,2,4,11,3,6,2,1,0,0,2,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,8,7,8,6,6,2,0,0,0,0,2,2,1,2,1,1,0,1,2,2,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,151,90,22,21,18,9,6,5,6,7,6,5,1,3,1,0,2,0
[locus_tag=SAR11_RS04335] [db_xref=GeneID:66295360] [protein=TRAP transporter substrate-binding protein] [protein_id=WP_006997054.1] [location=833343..834434] [gbkey=CDS],NC_007205.1_prot_WP_006997054.1_850,40 kDa,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,151,42,60,29,15,8,10,8,4,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,31,64,83,140,127,72,26,16,11,11,5,1,0,2,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,13,84,117,129,98,79,43,27,24,13,12,13,7,10,7,4,6,7,5,0,2,1,0,3,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[locus_tag=SAR11_RS01805] [db_xref=GeneID:66294857] [protein=porin] [protein_id=WP_011281651.1] [location=352028..353017] [gbkey=CDS],NC_007205.1_prot_WP_011281651.1_354,34 kDa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,15,18,28,15,13,10,8,7,5,2,4,2,1,2,1,6,0,0,0,0,0,0,0,0,2,4,6,2,9,23,21,18,19,29,13,12,13,4,2,2,3,4,2,1,1,2,0,1,0,0,0,0,0,0,0,0,16,13,22,41,77,79,54,90,100,38,44,26,15,14,9,9,15,16,10,3,5,2,1,3,4,2,1,1,4,3,2,0,2,0,2,1,0,2,1,1,0,0,5,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,14,13,10,1,3,2,0,2,3,1,1,1,0,0,1,1,0
[locus_tag=SAR11_RS06735] [db_xref=GeneID:66295835] [protein=ABC transporter substrate-binding protein] [protein_id=WP_006997938.1] [location=1282283..1283467] [gbkey=CDS],NC_007205.1_prot_WP_006997938.1_1315,40 kDa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,93,65,68,58,53,40,30,32,23,14,17,11,11,7,4,8,5,6,3,2,1,1,3,2,4,4,4,0,5,6,3,35,146,103,32,48,21,16,4,5,3,3,3,2,4,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[gene=atpD] [locus_tag=SAR11_RS01145] [db_xref=GeneID:66294727] [protein=F0F1 ATP synthase subunit beta] [protein_id=WP_006997680.1] [location=complement(227759..229177)] [gbkey=CDS],NC_007205.1_prot_WP_006997680.1_224,51 kDa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,13,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,18,30,23,19,13,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,68,84,113,143,106,51,34,28,21,19,13,9,11,13,8,9,7,7,5,5,2,1,4,2,2,0,0,3,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
