PA_ID,Molecular Weight,Annotation,Processed Annotation,100-7,100-8,100-9,100-10,100-11,100-12,100-13,100-14,100-15,100-16,100-17,100-18,100-19,100-20,100-21,100-22,100-23,100-24,100-25,100-26,100-27,100-28,100-29,100-30,100-31,100-32,100-33,100-34,100-35,100-36,100-37,100-38,200-7,200-8,200-9,200-10,200-11,200-12,200-13,200-14,200-15,200-16,200-17,200-18,200-19,200-20,200-21,200-22,200-23,200-24,200-25,200-26,200-27,200-28,200-29,200-30,200-31,200-32,200-33,200-34,200-35,200-36,200-37,200-38,300-7,300-8,300-9,300-10,300-11,300-12,300-13,300-14,300-15,300-16,300-17,300-18,300-19,300-20,300-21,300-22,300-23,300-24,300-25,300-26,300-27,300-28,300-29,300-30,300-31,300-32,300-33,300-34,300-35,300-36,300-37,300-38,400-7,400-8,400-9,400-10,400-11,400-12,400-13,400-14,400-15,400-16,400-17,400-18,400-19,400-20,400-21,400-22,400-23,400-24,400-25,400-26,400-27,400-28,400-29,400-30,400-31,400-32,400-33,400-34,400-35,400-36,400-37,400-38,500-7,500-8,500-9,500-10,500-11,500-12,500-13,500-14,500-15,500-16,500-17,500-18,500-19,500-20,500-21,500-22,500-23,500-24,500-25,500-26,500-27,500-28,500-29,500-30,500-31,500-32,500-33,500-34,500-35,500-36,500-37,500-38,600-7,600-8,600-9,600-10,600-11,600-12,600-13,600-14,600-15,600-16,600-17,600-18,600-19,600-20,600-21,600-22,600-23,600-24,600-25,600-26,600-27,600-28,600-29,600-30,600-31,600-32,600-33,600-34,600-35,600-36,600-37,600-38,800-7,800-8,800-9,800-10,800-11,800-12,800-13,800-14,800-15,800-16,800-17,800-18,800-19,800-20,800-21,800-22,800-23,800-24,800-25,800-26,800-27,800-28,800-29,800-30,800-31,800-32,800-33,800-34,800-35,800-36,800-37,800-38,1000-7,1000-8,1000-9,1000-10,1000-11,1000-12,1000-13,1000-14,1000-15,1000-16,1000-17,1000-18,1000-19,1000-20,1000-21,1000-22,1000-23,1000-24,1000-25,1000-26,1000-27,1000-28,1000-29,1000-30,1000-31,1000-32,1000-33,1000-34,1000-35,1000-36,1000-37,1000-38
PA4266,78 kDa,ref|NP_252956.1|gi|15599462| elongation factor G,elongation factor G,,,,9,13,16,19,12,12,13,12,8,9,5,2,3,4,7,5,4,4,7,4,6,6,4,5,4,4,,,,,,,5,4,3,5,4,3,2,3,1,1,0,0,0,0,1,1,1,2,2,2,3,3,8,5,3,3,,,,,,,5,4,2,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,6,2,2,2,2,0,2,1,,,,,,,0,0,0,0,0,0,19,10,1,0,0,1,1,2,2,0,1,0,2,1,2,1,1,0,1,0,,,,,,,1,0,0,1,1,125,900,702,492,379,348,314,259,236,203,178,156,141,121,104,103,84,76,70,59,50,,,,,,,40,38,30,20,22,24,46,44,49,45,44,42,45,36,36,36,35,35,35,34,31,28,28,29,28,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA4277,43 kDa,ref|NP_252967.1|gi|15599473| elongation factor Tu,elongation factor Tu,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,4,4,2,0,2,2,1,,,,,,,1,0,0,2,1,1,1,1,3,2,4,0,5,0,8,9,7,7,0,8,6,8,6,8,4,8,,,,,,,0,0,37,41,36,30,24,37,46,58,68,76,90,106,141,220,206,151,142,143,141,123,134,107,94,76,,,,,,,15,32,71,73,57,56,56,71,74,82,88,91,92,85,90,85,108,100,76,81,79,81,76,74,67,59,,,,,,,32,29,44,46,49,48,7,5,5,4,4,27,4,2,4,3,4,4,3,4,6,3,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA4761,68 kDa,ref|NP_253449.1|gi|15599955| DnaK protein,DnaK protein,,,,0,1,2,2,0,0,1,2,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,,,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,,,,,,,0,0,8,21,54,104,101,86,74,72,76,86,80,73,64,67,74,65,65,52,54,47,44,46,40,37,,,,,,,7,14,15,93,139,105,74,77,72,66,62,63,57,54,49,45,45,37,42,41,36,31,30,29,29,29,,,,,,,11,10,13,14,28,38,13,9,11,8,10,9,7,7,6,6,6,7,6,6,6,5,3,7,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA3655,31 kDa,ref|NP_252345.1|gi|15598851| elongation factor Ts,elongation factor Ts,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,5,0,0,2,16,14,219,427,306,231,153,102,73,63,64,51,47,37,36,34,26,29,,,,,,,17,14,7,2,1,0,0,0,1,1,9,10,39,30,33,28,21,16,12,10,11,12,9,6,7,10,,,,,,,0,2,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA5554,50 kDa,ref|NP_254241.1|gi|15600747| ATP synthase beta chain,ATP synthase beta chain,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,24,152,401,129,105,239,175,131,121,117,109,94,81,68,60,61,58,51,49,42,36,32,28,27,,,,,,,6,9,27,18,13,2,32,97,65,49,31,29,24,24,17,14,14,11,11,8,6,3,5,5,2,2,,,,,,,1,1,4,15,14,7,2,2,1,0,1,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA3807,16 kDa,ref|NP_252496.1|gi|15599002| nucleoside diphosphate kinase,nucleoside diphosphate kinase,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,219,198,129,78,65,54,60,69,73,64,62,49,41,32,32,24,17,14,14,,,,,,,29,17,2,0,0,0,2,38,44,43,44,67,46,60,44,38,34,25,31,21,15,13,13,7,11,10,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA1787,94 kDa,ref|NP_250478.1|gi|15596984| aconitate hydratase 2,aconitate hydratase 2,,,,2,2,4,3,4,4,3,3,4,2,2,1,2,2,2,1,3,2,2,2,2,3,2,2,3,3,,,,,,,3,4,1,2,2,2,3,2,1,1,0,0,0,2,2,1,1,2,3,2,3,3,3,2,2,3,,,,,,,5,5,4,1,1,96,178,96,54,41,41,22,37,12,36,26,24,23,6,16,20,14,12,4,11,14,,,,,,,0,0,0,3,19,79,173,121,77,62,67,59,51,42,40,33,32,34,26,24,22,18,13,10,13,10,,,,,,,3,6,2,4,5,36,98,56,31,14,10,9,10,4,5,4,5,4,2,2,3,3,2,3,3,2,,,,,,,3,3,3,2,4,11,2,3,3,3,2,2,2,2,3,3,3,2,3,3,3,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA0546,43 kDa,ref|NP_249237.1|gi|15595743| methionine adenosyltransferase,methionine adenosyltransferase,,,,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,127,169,79,54,41,43,49,45,38,33,40,26,30,33,29,31,30,27,25,27,23,26,,,,,,,18,20,9,5,26,32,10,7,5,4,6,6,6,5,5,3,4,6,5,7,7,6,5,4,4,5,,,,,,,7,5,8,6,9,10,6,6,7,6,5,4,6,7,5,6,5,5,6,6,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA5171,46 kDa,ref|NP_253858.1|gi|15600364| arginine deiminase,arginine deiminase,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,75,141,76,44,25,21,22,20,19,13,14,10,9,6,6,6,5,3,2,2,2,2,,,,,,,0,0,0,0,101,340,153,92,75,65,61,56,57,54,42,44,41,39,29,23,22,17,19,13,13,11,,,,,,,3,4,15,12,4,4,1,0,0,0,0,0,0,1,1,2,0,1,1,1,1,1,1,1,1,1,,,,,,,1,1,1,1,6,11,2,2,1,1,2,8,2,1,2,1,1,1,1,1,4,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA5556,55 kDa,ref|NP_254243.1|gi|15600749| ATP synthase alpha chain,ATP synthase alpha chain,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,1,1,2,0,0,0,0,1,0,0,0,0,3,2,2,4,0,4,4,2,3,4,3,0,,,,,,,0,0,13,57,107,55,29,28,30,28,30,38,41,39,42,50,48,61,58,60,54,44,43,33,33,30,,,,,,,1,7,26,12,10,1,1,0,0,2,4,4,4,4,15,13,11,13,16,13,17,20,14,13,13,11,,,,,,,1,1,5,13,9,5,2,4,4,2,3,3,5,2,3,1,2,2,3,2,2,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
